DATE,DGS6MO
2015-03-26,0.13
2015-03-27,0.12
2015-03-30,0.14
2015-03-31,0.14
2015-04-01,0.12
2015-04-02,0.10
2015-04-03,0.10
2015-04-06,0.10
2015-04-07,0.10
2015-04-08,0.10
2015-04-09,0.10
2015-04-10,0.09
2015-04-13,0.11
2015-04-14,0.10
2015-04-15,0.08
2015-04-16,0.08
2015-04-17,0.08
2015-04-20,0.10
2015-04-21,0.09
2015-04-22,0.10
2015-04-23,0.09
2015-04-24,0.10
2015-04-27,0.10
2015-04-28,0.09
2015-04-29,0.07
2015-04-30,0.06
2015-05-01,0.05
2015-05-04,0.08
2015-05-05,0.08
2015-05-06,0.08
2015-05-07,0.08
2015-05-08,0.08
2015-05-11,0.09
2015-05-12,0.09
2015-05-13,0.09
2015-05-14,0.08
2015-05-15,0.09
2015-05-18,0.08
2015-05-19,0.07
2015-05-20,0.08
2015-05-21,0.07
2015-05-22,0.08
2015-05-25,.
2015-05-26,0.09
2015-05-27,0.09
2015-05-28,0.08
2015-05-29,0.06
2015-06-01,0.07
2015-06-02,0.07
2015-06-03,0.07
2015-06-04,0.08
2015-06-05,0.08
2015-06-08,0.09
2015-06-09,0.08
2015-06-10,0.10
2015-06-11,0.10
2015-06-12,0.10
2015-06-15,0.11
2015-06-16,0.11
2015-06-17,0.10
2015-06-18,0.08
2015-06-19,0.05
2015-06-22,0.08
2015-06-23,0.09
2015-06-24,0.08
2015-06-25,0.07
2015-06-26,0.08
2015-06-29,0.11
2015-06-30,0.11
2015-07-01,0.13
2015-07-02,0.10
2015-07-03,.
2015-07-06,0.09
2015-07-07,0.08
2015-07-08,0.08
2015-07-09,0.08
2015-07-10,0.09
2015-07-13,0.10
2015-07-14,0.10
2015-07-15,0.11
2015-07-16,0.10
2015-07-17,0.11
2015-07-20,0.14
2015-07-21,0.13
2015-07-22,0.13
2015-07-23,0.13
2015-07-24,0.14
2015-07-27,0.15
2015-07-28,0.14
2015-07-29,0.14
2015-07-30,0.15
2015-07-31,0.14
2015-08-03,0.17
2015-08-04,0.18
2015-08-05,0.19
2015-08-06,0.20
2015-08-07,0.23
2015-08-10,0.24
2015-08-11,0.23
2015-08-12,0.22
2015-08-13,0.24
2015-08-14,0.25
2015-08-17,0.24
2015-08-18,0.25
2015-08-19,0.22
2015-08-20,0.22
2015-08-21,0.21
2015-08-24,0.20
2015-08-25,0.19
2015-08-26,0.20
2015-08-27,0.22
2015-08-28,0.25
2015-08-31,0.27
2015-09-01,0.26
2015-09-02,0.25
2015-09-03,0.24
2015-09-04,0.23
2015-09-07,.
2015-09-08,0.27
2015-09-09,0.26
2015-09-10,0.25
2015-09-11,0.25
2015-09-14,0.26
2015-09-15,0.27
2015-09-16,0.24
2015-09-17,0.16
2015-09-18,0.10
2015-09-21,0.11
2015-09-22,0.10
2015-09-23,0.09
2015-09-24,0.09
2015-09-25,0.07
2015-09-28,0.10
2015-09-29,0.09
2015-09-30,0.08
2015-10-01,0.08
2015-10-02,0.06
2015-10-05,0.06
2015-10-06,0.07
2015-10-07,0.08
2015-10-08,0.07
2015-10-09,0.07
2015-10-12,.
2015-10-13,0.08
2015-10-14,0.08
2015-10-15,0.08
2015-10-16,0.07
2015-10-19,0.12
2015-10-20,0.12
2015-10-21,0.12
2015-10-22,0.11
2015-10-23,0.13
2015-10-26,0.16
2015-10-27,0.18
2015-10-28,0.21
2015-10-29,0.21
2015-10-30,0.23
2015-11-02,0.27
2015-11-03,0.26
2015-11-04,0.27
2015-11-05,0.27
2015-11-06,0.32
2015-11-09,0.34
2015-11-10,0.34
2015-11-11,.
2015-11-12,0.35
2015-11-13,0.31
2015-11-16,0.33
2015-11-17,0.34
2015-11-18,0.31
2015-11-19,0.31
2015-11-20,0.31
2015-11-23,0.35
2015-11-24,0.36
2015-11-25,0.39
2015-11-26,.
2015-11-27,0.38
2015-11-30,0.42
2015-12-01,0.42
2015-12-02,0.42
2015-12-03,0.45
2015-12-04,0.49
2015-12-07,0.57
2015-12-08,0.58
2015-12-09,0.53
2015-12-10,0.55
2015-12-11,0.52
2015-12-14,0.54
2015-12-15,0.54
2015-12-16,0.51
2015-12-17,0.48
2015-12-18,0.47
2015-12-21,0.51
2015-12-22,0.47
2015-12-23,0.47
2015-12-24,0.49
2015-12-25,.
2015-12-28,0.51
2015-12-29,0.50
2015-12-30,0.47
2015-12-31,0.49
2016-01-01,.
2016-01-04,0.49
2016-01-05,0.49
2016-01-06,0.47
2016-01-07,0.46
2016-01-08,0.45
2016-01-11,0.48
2016-01-12,0.47
2016-01-13,0.46
2016-01-14,0.43
2016-01-15,0.37
2016-01-18,.
2016-01-19,0.37
2016-01-20,0.35
2016-01-21,0.38
2016-01-22,0.41
2016-01-25,0.42
2016-01-26,0.45
2016-01-27,0.43
2016-01-28,0.45
2016-01-29,0.43
2016-02-01,0.47
2016-02-02,0.47
2016-02-03,0.46
2016-02-04,0.43
2016-02-05,0.45
2016-02-08,0.42
2016-02-09,0.43
2016-02-10,0.42
2016-02-11,0.39
2016-02-12,0.39
2016-02-15,.
2016-02-16,0.42
2016-02-17,0.43
2016-02-18,0.45
2016-02-19,0.46
2016-02-22,0.46
2016-02-23,0.47
2016-02-24,0.46
2016-02-25,0.46
2016-02-26,0.47
2016-02-29,0.49
2016-03-01,0.50
2016-03-02,0.48
2016-03-03,0.46
2016-03-04,0.47
2016-03-07,0.49
2016-03-08,0.48
2016-03-09,0.47
2016-03-10,0.50
2016-03-11,0.51
2016-03-14,0.52
2016-03-15,0.52
2016-03-16,0.47
2016-03-17,0.47
2016-03-18,0.44
2016-03-21,0.46
2016-03-22,0.46
2016-03-23,0.46
2016-03-24,0.46
2016-03-25,.
2016-03-28,0.49
2016-03-29,0.45
2016-03-30,0.39
2016-03-31,0.39
2016-04-01,0.40
2016-04-04,0.38
2016-04-05,0.36
2016-04-06,0.36
2016-04-07,0.36
2016-04-08,0.34
2016-04-11,0.34
2016-04-12,0.34
2016-04-13,0.36
2016-04-14,0.37
2016-04-15,0.37
2016-04-18,0.35
2016-04-19,0.36
2016-04-20,0.36
2016-04-21,0.37
2016-04-22,0.38
2016-04-25,0.40
2016-04-26,0.43
2016-04-27,0.40
2016-04-28,0.39
2016-04-29,0.40
2016-05-02,0.41
2016-05-03,0.40
2016-05-04,0.39
2016-05-05,0.39
2016-05-06,0.39
2016-05-09,0.38
2016-05-10,0.36
2016-05-11,0.37
2016-05-12,0.37
2016-05-13,0.38
2016-05-16,0.38
2016-05-17,0.40
2016-05-18,0.43
2016-05-19,0.43
2016-05-20,0.46
2016-05-23,0.48
2016-05-24,0.48
2016-05-25,0.47
2016-05-26,0.46
2016-05-27,0.47
2016-05-30,.
2016-05-31,0.49
2016-06-01,0.49
2016-06-02,0.48
2016-06-03,0.43
2016-06-06,0.43
2016-06-07,0.43
2016-06-08,0.43
2016-06-09,0.43
2016-06-10,0.42
2016-06-13,0.40
2016-06-14,0.41
2016-06-15,0.37
2016-06-16,0.36
2016-06-17,0.37
2016-06-20,0.41
2016-06-21,0.41
2016-06-22,0.40
2016-06-23,0.43
2016-06-24,0.38
2016-06-27,0.35
2016-06-28,0.35
2016-06-29,0.35
2016-06-30,0.36
2016-07-01,0.37
2016-07-04,.
2016-07-05,0.35
2016-07-06,0.36
2016-07-07,0.37
2016-07-08,0.36
2016-07-11,0.40
2016-07-12,0.40
2016-07-13,0.40
2016-07-14,0.41
2016-07-15,0.42
2016-07-18,0.44
2016-07-19,0.44
2016-07-20,0.44
2016-07-21,0.44
2016-07-22,0.44
2016-07-25,0.44
2016-07-26,0.43
2016-07-27,0.40
2016-07-28,0.39
2016-07-29,0.38
2016-08-01,0.40
2016-08-02,0.41
2016-08-03,0.42
2016-08-04,0.41
2016-08-05,0.45
2016-08-08,0.45
2016-08-09,0.44
2016-08-10,0.43
2016-08-11,0.45
2016-08-12,0.43
2016-08-15,0.46
2016-08-16,0.45
2016-08-17,0.46
2016-08-18,0.44
2016-08-19,0.44
2016-08-22,0.45
2016-08-23,0.45
2016-08-24,0.46
2016-08-25,0.46
2016-08-26,0.47
2016-08-29,0.49
2016-08-30,0.47
2016-08-31,0.47
2016-09-01,0.47
2016-09-02,0.45
2016-09-05,.
2016-09-06,0.45
2016-09-07,0.49
2016-09-08,0.50
2016-09-09,0.51
2016-09-12,0.53
2016-09-13,0.54
2016-09-14,0.52
2016-09-15,0.49
2016-09-16,0.50
2016-09-19,0.48
2016-09-20,0.49
2016-09-21,0.44
2016-09-22,0.39
2016-09-23,0.40
2016-09-26,0.42
2016-09-27,0.42
2016-09-28,0.44
2016-09-29,0.43
2016-09-30,0.45
2016-10-03,0.48
2016-10-04,0.48
2016-10-05,0.48
2016-10-06,0.46
2016-10-07,0.46
2016-10-10,.
2016-10-11,0.48
2016-10-12,0.49
2016-10-13,0.45
2016-10-14,0.46
2016-10-17,0.47
2016-10-18,0.47
2016-10-19,0.48
2016-10-20,0.48
2016-10-21,0.47
2016-10-24,0.46
2016-10-25,0.49
2016-10-26,0.49
2016-10-27,0.49
2016-10-28,0.49
2016-10-31,0.51
2016-11-01,0.50
2016-11-02,0.51
2016-11-03,0.52
2016-11-04,0.52
2016-11-07,0.54
2016-11-08,0.56
2016-11-09,0.56
2016-11-10,0.59
2016-11-11,.
2016-11-14,0.65
2016-11-15,0.61
2016-11-16,0.62
2016-11-17,0.61
2016-11-18,0.60
2016-11-21,0.60
2016-11-22,0.61
2016-11-23,0.63
2016-11-24,.
2016-11-25,0.62
2016-11-28,0.60
2016-11-29,0.60
2016-11-30,0.62
2016-12-01,0.60
2016-12-02,0.61
2016-12-05,0.63
2016-12-06,0.63
2016-12-07,0.63
2016-12-08,0.62
2016-12-09,0.64
2016-12-12,0.64
2016-12-13,0.66
2016-12-14,0.66
2016-12-15,0.65
2016-12-16,0.65
2016-12-19,0.65
2016-12-20,0.66
2016-12-21,0.65
2016-12-22,0.65
2016-12-23,0.65
2016-12-26,.
2016-12-27,0.66
2016-12-28,0.62
2016-12-29,0.62
2016-12-30,0.62
2017-01-02,.
2017-01-03,0.65
2017-01-04,0.63
2017-01-05,0.62
2017-01-06,0.61
2017-01-09,0.60
2017-01-10,0.60
2017-01-11,0.60
2017-01-12,0.59
2017-01-13,0.61
2017-01-16,.
2017-01-17,0.62
2017-01-18,0.63
2017-01-19,0.62
2017-01-20,0.62
2017-01-23,0.59
2017-01-24,0.62
2017-01-25,0.61
2017-01-26,0.62
2017-01-27,0.63
2017-01-30,0.63
2017-01-31,0.64
2017-02-01,0.65
2017-02-02,0.64
2017-02-03,0.63
2017-02-06,0.62
2017-02-07,0.63
2017-02-08,0.63
2017-02-09,0.64
2017-02-10,0.64
2017-02-13,0.63
2017-02-14,0.66
2017-02-15,0.67
2017-02-16,0.66
2017-02-17,0.66
2017-02-20,.
2017-02-21,0.69
2017-02-22,0.68
2017-02-23,0.66
2017-02-24,0.65
2017-02-27,0.68
2017-02-28,0.69
2017-03-01,0.79
2017-03-02,0.84
2017-03-03,0.84
2017-03-06,0.83
2017-03-07,0.87
2017-03-08,0.86
2017-03-09,0.88
2017-03-10,0.89
2017-03-13,0.93
2017-03-14,0.93
2017-03-15,0.89
2017-03-16,0.89
2017-03-17,0.87
2017-03-20,0.89
2017-03-21,0.91
2017-03-22,0.90
2017-03-23,0.90
2017-03-24,0.89
2017-03-27,0.91
2017-03-28,0.92
2017-03-29,0.92
2017-03-30,0.91
2017-03-31,0.91
2017-04-03,0.92
2017-04-04,0.92
2017-04-05,0.93
2017-04-06,0.94
2017-04-07,0.95
2017-04-10,0.97
2017-04-11,0.94
2017-04-12,0.95
2017-04-13,0.94
2017-04-14,.
