forest_id,cid,zliv,zbio,livcar1,ownstate,distance,sadmin,rulematch,lnfsize
217,"NEP",-.6139841,-.4509847,3,1,2,0,0,4.430817
325,"IND",-.6538849,-.3653702,3,1,1,1,0,8.196712
88,"UGA",-.338308,-.9703643,3,1,1,3,0,4.941642
174,"NEP",-.7855347,-1.325194,3,1,2,26,0,5.288267
240,"NEP",-.4502251,-1.049222,3,1,2,3,1,4.343805
287,"TAN",-.1834945,-.8323973,3,1,1,40,1,6.214608
324,"IND",-.3189384,-.8607258,3,1,2,8,0,7.274757
321,"NEP",-.5995524,-.8994036,3,1,2,0,0,4.584968
216,"NEP",-.2670239,-.6780499,3,1,2,0,1,5.313206
82,"UGA",-.8026831,-.991412,3,0,1,0,1,3.912023
214,"NEP",-1.149868,-.4956958,3,1,2,0,1,4.510859
282,"MAD",.4949493,-.710647,4,1,2,23,0,6.684612
221,"NEP",.6844318,-.4588023,4,1,2,1,1,4.997212
171,"NEP",-.6926135,.3116399,1,1,1,50,1,5.298317
210,"NEP",.1589104,1.34691,2,1,2,9,0,5.164786
222,"NEP",-1.121486,1.429421,1,1,3,1,1,5.710427
335,"IND",.2711057,-.496001,4,1,1,24,0,7.824046
175,"NEP",.241793,-1.435,4,1,2,26,0,4.174387
245,"NEP",.8384142,-.7703564,4,1,2,0,1,5.922918
252,"BOL",.9523549,.4742948,2,1,1,190,1,8.101678
337,"IND",-.5335755,-1.226705,3,1,1,10,0,5.561066
309,"KEN",1.808183,-1.10147,4,1,2,6,0,6.214608
341,"IND",2.05093,.0903892,2,1,1,7,1,6.151455
4,"MEX",.5833191,.4642355,2,0,2,1,1,7.097135
339,"IND",1.95129,.0779903,2,1,1,3,1,7.499424
327,"IND",1.114356,.4691488,2,1,1,18,0,9.188912
290,"TAN",-1.299013,1.289352,1,1,1,15,1,9.031214
346,"IND",1.129215,.0590392,2,1,1,10,0,6.431653
251,"NEP",-.428688,.5401322,1,1,2,2,1,4.770685
253,"BOL",-.111293,.4726877,1,1,3,190,0,10.03012
277,"MAD",.2597227,-.8488398,4,1,2,5,0,5.991465
254,"BOL",2.227699,1.188321,2,1,1,0,0,8.131531
299,"KEN",1.593136,-1.095163,4,1,1,70,0,8.159517
57,"UGA",-.5236689,.4909956,1,0,2,5,0,5.010635
310,"KEN",1.939585,1.667182,2,1,2,5,1,7.578657
215,"NEP",-1.104888,-1.351332,3,1,2,2,0,5.703783
246,"NEP",.0059496,-.6932716,4,1,1,1,1,4.637638
184,"NEP",-.3148344,-.2821941,3,1,2,6,1,4.828314
278,"MAD",.7669976,.8170998,2,1,2,4,1,8.294049
