"date","SPY","EFA","IJS","EEM","AGG"
"2012-12-31","128.309158","49.164104","75.065903","39.892326","98.196259"
"2013-01-02","131.597702","49.925007","77.125534","40.674885","98.081306"
"2013-01-03","131.300415","49.440796","77.023491","40.387054","97.83374"
"2013-01-04","131.87706","49.691547","77.626564","40.467999","97.939827"
"2013-01-07","131.516647","49.475388","77.171944","40.162178","97.88681"
"2013-01-08","131.138199","49.198689","76.875053","39.802383","97.975227"
"2013-01-09","131.471634","49.449444","77.097725","39.973282","97.904488"
"2013-01-10","132.516754","50.080639","77.190491","40.324089","97.895653"
"2013-01-11","132.507706","50.184399","77.134827","40.000263","97.992912"
"2013-01-14","132.417664","50.244923","77.11628","40.171173","98.081306"
"2013-01-15","132.507706","50.167107","77.459564","40.000263","98.107811"
"2013-01-16","132.489746","49.925007","77.255447","39.964291","98.160828"
"2013-01-17","133.345642","50.331394","77.997665","40.189163","97.948662"
"2013-01-18","133.642975","50.279514","78.303833","40.279106","98.063606"
"2013-01-22","134.363708","50.305447","78.916145","40.216145","98.010582"
"2013-01-23","134.579987","50.253567","78.749153","40.000263","98.116653"
"2013-01-24","134.616074","50.495674","79.240875","39.85635","97.984077"
"2013-01-25","135.372833","51.040401","79.528488","39.72142","97.745415"
"2013-01-28","135.210693","50.78965","79.602722","39.442589","97.603943"
"2013-01-29","135.742264","51.135513","79.741852","39.883327","97.542068"
"2013-01-30","135.210693","51.187397","78.776978","39.694439","97.497864"
"2013-01-31","134.877319","50.997169","79.083153","39.775394","97.58625"
"2013-02-01","136.264847","51.403557","79.992355","40.036243","97.374565"
"2013-02-04","134.73317","50.478378","78.953262","39.505547","97.649132"
"2013-02-05","136.093658","50.711842","79.630524","39.550526","97.445435"
"2013-02-06","136.192749","50.70319","79.983101","39.505547","97.613724"
"2013-02-07","136.012573","50.288158","79.936707","39.154743","97.649132"
"2013-02-08","136.769379","50.608074","80.437683","39.442589","97.67572"
"2013-02-11","136.742371","50.556198","80.344917","39.424599","97.57827"
"2013-02-12","136.96759","50.806942","80.678909","39.532532","97.560577"
"2013-02-13","137.084702","50.928005","80.966507","39.730423","97.463135"
"2013-02-14","137.210861","50.651314","81.217026","39.712425","97.640289"
"2013-02-15","137.048721","50.521614","81.235573","39.568516","97.649132"
"2013-02-19","138.075836","51.118221","82.154083","39.649464","97.533989"
"2013-02-20","136.354935","50.616726","80.771698","39.298664","97.596016"
"2013-02-21","135.526031","49.855827","80.177917","38.758972","97.649132"
"2013-02-22","136.850464","50.57349","80.873734","38.929874","97.702293"
"2013-02-25","134.246628","49.362984","79.194496","38.408169","98.074265"
"2013-02-26","135.165649","49.760719","79.417145","38.62405","98.047714"
"2013-02-27","136.868484","50.391914","80.261414","39.046806","98.074265"
"2013-02-28","136.598221","50.340038","80.372742","38.866909","98.162849"
"2013-03-01","137.048721","50.236282","80.595413","38.956863","98.197464"
"2013-03-04","137.778473","50.452438","80.465515","38.58807","98.126488"
"2013-03-05","139.012848","50.953941","81.346909","39.055805","98.046585"
"2013-03-06","139.202072","51.083637","81.625229","39.244698","97.940109"
"2013-03-07","139.4543","51.230625","82.070572","39.352642","97.736038"
"2013-03-08","140.04895","51.343037","82.710739","39.694439","97.452057"
"2013-03-11","140.580582","51.498672","82.627228","39.478565","97.505302"
"2013-03-12","140.265182","51.239269","82.358185","39.028824","97.682762"
"2013-03-13","140.463409","51.161453","82.859161","38.660038","97.602905"
"2013-03-14","141.211182","51.662956","83.842613","38.821941","97.709389"
"2013-03-15","141.024811","51.766712","84.018898","38.471134","97.798141"
"2013-03-18","140.24649","51.196041","83.434387","38.039387","97.886887"
"2013-03-19","139.920731","51.040401","83.350891","37.769539","98.028847"
"2013-03-20","140.898132","51.351673","84.000343","37.985416","97.922379"
"2013-03-21","139.694473","50.884762","83.258102","37.598629","97.940109"
"2013-03-22","140.816666","51.325741","83.443672","37.742554","97.975616"
"2013-03-25","140.228409","50.685894","83.441811","37.70657","97.940109"
"2013-03-26","141.350632","51.005821","83.758141","38.246269","98.055458"
"2013-03-27","141.350632","50.75507","83.739555","38.390179","98.259567"
"2013-03-28","141.785004","50.997169","83.674408","38.471134","98.259567"
"2013-04-01","141.223892","50.314095","82.837021","38.057369","98.348526"
"2013-04-02","141.920731","50.850178","82.381104","38.075359","98.241783"
"2013-04-03","140.481781","50.599426","81.283188","37.625614","98.348526"
"2013-04-04","141.051987","51.049057","81.971695","37.517681","98.62426"
"2013-04-05","140.418457","50.815594","81.794945","37.427731","98.908844"
"2013-04-08","141.368683","51.014462","82.613724","37.490692","98.739891"
"2013-04-09","141.857407","51.196041","82.260162","37.859482","98.775475"
"2013-04-10","143.594986","51.956936","83.730255","38.21928","98.570885"
"2013-04-11","144.065582","52.363323","83.776772","38.255257","98.588684"
"2013-04-12","143.712631","52.233624","83.423203","37.670589","98.908844"
"2013-04-15","140.382263","51.204689","80.50161","36.753117","98.953331"
"2013-04-16","142.454712","51.930988","81.608818","37.508686","98.953331"
"2013-04-17","140.37323","50.850178","80.287613","36.915024","98.953331"
"2013-04-18","139.495392","50.694546","79.999199","36.915024","98.935608"
"2013-04-19","140.708054","51.100925","80.836578","37.454712","98.944466"
"2013-04-22","141.332504","51.317089","80.88311","37.634609","99.068962"
"2013-04-23","142.78952","52.0434","82.204323","37.81451","99.024529"
"2013-04-24","142.880005","52.493015","82.799812","38.039387","99.006706"
"2013-04-25","143.459244","52.769707","83.28363","38.381184","98.96225"
"2013-04-26","143.205841","52.812935","82.678848","37.994411","99.166817"
"2013-04-29","144.165131","53.487366","83.19059","38.390179","99.229073"
"2013-04-30","144.509003","53.556538","83.776772","38.938877","99.211304"
"2013-05-01","143.242065","53.236626","81.776337","38.516113","99.257637"
"2013-05-02","144.572357","53.400898","83.041718","38.821941","99.266548"
"2013-05-03","146.038452","54.083977","84.511803","39.145752","98.901199"
"2013-05-06","146.409485","54.014809","84.902603","39.199726","98.740814"
"2013-05-07","147.151611","54.101265","85.823715","39.478565","98.687325"
"2013-05-08","147.821304","54.67194","86.214554","39.784389","98.776466"
"2013-05-09","147.404968","54.144501","85.916771","39.496552","98.642807"
"2013-05-10","147.884644","54.205025","86.558769","39.190727","98.44677"
"2013-05-13","148.002274","54.179092","86.335487","38.830936","98.357643"
"2013-05-14","149.531723","54.282848","87.442703","39.010826","98.125969"
"2013-05-15","150.337158","54.516308","87.898613","39.019829","98.268532"
"2013-05-16","149.631256","54.144501","87.535759","38.884903","98.535889"
"2013-05-17","151.079254","54.516308","88.587135","39.055805","98.295296"
"2013-05-20","151.07019","54.818932","88.810448","39.154743","98.197266"
"2013-05-21","151.287399","54.931332","88.968628","39.073795","98.277458"
"2013-05-22","150.165207","54.377964","87.684608","38.642036","97.947784"
"2013-05-23","149.730835","53.599777","87.563667","38.354195","97.912109"
"2013-05-24","149.604111","53.132866","87.610184","38.021393","97.912109"
"2013-05-28","150.500061","53.271206","88.810448","38.228275","97.30616"
"2013-05-29","149.52269","52.761063","87.796272","37.742554","97.439835"
"2013-05-30","150.074753","52.968582","88.196373","37.742554","97.413101"
"2013-05-31","147.920853","51.93964","87.368263","37.058937","97.225975"
"2013-06-03","148.735321","52.138515","88.42897","37.607628","97.275078"
"2013-06-04","148.020416","52.328739","87.656708","37.148888","97.060829"
"2013-06-05","145.947968","51.161453","86.614586","36.483269","97.007263"
"2013-06-06","147.269257","51.446789","87.303131","36.789093","97.257217"
"2013-06-07","149.142624","52.138515","87.963745","36.600204","96.95369"
"2013-06-10","149.142624","52.190388","88.568527","36.10548","96.757347"
"2013-06-11","147.604111","51.550549","87.433403","35.421871","96.766251"
"2013-06-12","146.382355","51.490021","86.716957","35.179012","96.605576"
"2013-06-13","148.608643","52.276855","88.159142","35.925579","97.078682"
"2013-06-14","147.676483","51.706188","87.247307","35.35891","97.105453"
"2013-06-17","148.816803","52.449787","87.814873","35.682724","97.034073"
"2013-06-18","149.993271","52.82159","88.931389","35.835629","96.998344"
"2013-06-19","147.920853","51.83588","87.777649","34.729259","96.346664"
"2013-06-20","144.25563","49.933651","85.712097","33.173145","95.703964"
"2013-06-21","144.718719","50.097935","86.056328","33.649876","95.16835"
"2013-06-24","142.890045","49.311092","84.939812","32.966267","94.78447"
"2013-06-25","144.263824","49.942299","85.823715","33.66787","94.891624"
"2013-06-26","145.692184","50.141159","85.98526","34.19857","95.293312"
